Number,Easting,Northing,Elevation,Code
2698,479193.6996,1849808.947,314.6151,SP
2699,479192.0217,1849813.319,315.5658,SP
2700,479193.1412,1849816.096,316.5997,SP
2701,479111.0955,1849774.74,317.3901,SP
2702,479109.8881,1849776.937,318.9789,SP
2703,479108.9237,1849777.945,319.9061,SP
2704,479111.5329,1849774.742,317.3546,SP
2705,479112.2009,1849772.904,316.7982,SP
2706,479114.4052,1849770.215,315.5938,EOK
2707,479115.0899,1849768.891,314.7929,SP
2708,479115.7076,1849767.296,313.8064,SP
2709,479115.5914,1849764.341,312.2156,SP
2710,479115.3097,1849764.333,312.8711,WL
2711,479114.7974,1849762.212,311.8323,SP
2712,479087.4511,1849748.899,313.211,SP
2713,479086.8172,1849749.83,313.5802,SP
2714,479086.8187,1849749.639,313.4473,EOK
2715,479087.0163,1849746.645,313.5102,SP
2716,479092.7189,1849743.633,312.6701,SP
2717,479095.8775,1849742.891,312.4757,SP
2718,479098.079,1849741.485,312.3078,SP
2719,479099.8117,1849740.311,312.2937,SP
2720,479101.5566,1849738.887,312.6066,SP
2721,479102.2544,1849737.792,313.0186,SP
2722,479102.3901,1849737.443,313.5629,SP
2723,479101.3783,1849738.63,312.9393,SP
2724,479037.6617,1849686.586,312.523,SP
2725,479035.3158,1849687.483,312.52,SP
2726,479032.2366,1849688.727,312.2587,SP
2727,479038.5823,1849694.072,312.3708,SP
2728,479038.4858,1849695.964,312.3338,SP
2729,479034.3762,1849699.637,312.2262,SP
2730,479033.6341,1849701.207,312.5314,SP
2731,479033.9961,1849700.81,313.0406,WL
2732,479038.9352,1849706.714,312.3027,SP
2733,479027.5942,1849700.019,315.5056,SP
2734,479027.1216,1849700.336,315.7858,EOK
2735,479027.8134,1849702.948,315.9605,SP
2736,479026.0714,1849704.594,316.8706,SP
2737,479041.01,1849703.198,312.5271,SP
2738,479041.4966,1849691.341,312.5455,SP
2739,479041.218,1849688.329,312.8443,SP
2740,479039.6202,1849685.553,313.1606,SP
2741,479040.439,1849684.561,314.3874,EOK
2742,479053.1082,1849675.938,314.7209,SP
2743,479051.6796,1849677.619,314.3035,SP
2744,479049.4319,1849680.821,314.4707,SP
2745,479059.336,1849668.858,315.9676,SP
2746,479063.1372,1849666.276,317.0934,SP
2747,479134.3709,1849721.818,314.8244,SP
2748,479132.7999,1849730.362,314.6639,SP
2749,479130.7841,1849736.499,314.45,SP
2750,479131.8354,1849742.934,314.2987,SP
2751,479130.4566,1849748.449,314.2946,SP
2752,479129.0504,1849750.367,314.1113,SP
2753,479128.9187,1849750.444,314.1534,EOK
2754,478977.8614,1849593.551,314.0879,SP
2755,478976.6907,1849596.128,314.0629,SP
2756,478973.6392,1849598.555,314.4439,SP
2757,478972.7447,1849598.163,314.6708,SP
2758,478974.3223,1849600.655,314.6438,SP
2759,478972.9058,1849599.913,314.7722,SP
2760,478970.1156,1849600.136,314.6733,SP
2761,478969.4607,1849600.472,314.9095,EOK
2762,478984.8261,1849598.307,313.5245,SP
2763,478985.884,1849598.774,313.5937,SP
2764,478992.4,1849600.145,312.4327,SP
2765,478990.0505,1849607.457,313.3226,WL
2766,479015.18,1849606.168,317.941,EOK
2767,479015.6322,1849606.988,317.8681,SP
2768,479021.5438,1849605.688,318.7197,SP
2769,479027.8964,1849603.901,319.8517,SP
2770,479013.5076,1849606.603,317.0047,SP
2771,479011.9865,1849607.207,316.3872,SP
2772,479020.845,1849503.764,318.7023,SP
2773,479018.7196,1849503.798,317.986,SP
2774,479016.7025,1849503.691,316.8101,SP
2775,479010.3716,1849501.414,315.2789,SP
2776,479006.3921,1849499.909,315.3361,SP
2777,479002.9027,1849497.752,315.1414,SP
2778,478993.1692,1849493.638,315.3098,EOK
2779,478992.6466,1849494.391,314.6295,SP
2780,478988.9274,1849495.185,313.5756,SP
