Number,Easting,Northing,Elevation,Code
3146,481754.2965,1848062.567,329.781,SP
3147,481757.1379,1848064.558,329.7364,SP
3148,481758.9302,1848067.472,329.7292,SP
3149,481762.7589,1848070.917,331.1077,SP
3150,481764.1277,1848071.845,332.2318,SP
3151,481577.7076,1848354.441,346.6842,SP
3152,481584.9013,1848363.83,344.7416,SP
3153,481566.2069,1848353.794,348.0659,SP
3154,481557.9402,1848348.976,349.8415,SP
3155,481543.7649,1848341.309,354.2762,SP
3156,481533.5516,1848336.377,358.1097,SP
3157,481524.3688,1848332.376,362.2769,SP
3158,481505.1662,1848324.563,368.0908,SP
3159,481497.4063,1848321.516,369.4814,SP
3160,481482.4126,1848325.348,368.3974,SP
3161,481475.4689,1848321.099,370.1384,SP
3162,481466.0401,1848319.221,375.5009,SP
3163,481451.768,1848310.198,383.5816,SP
3164,481434.2319,1848299.838,387.8723,SP
3165,481413.8995,1848290.106,389.0807,SP
3166,481406.8358,1848279.795,389.0168,SP
3167,481400.598,1848284.4,389.2002,SP
3168,481381.9974,1848284.174,392.1567,SP
3169,481370.9814,1848282.987,393.0032,SP
3170,481356.5679,1848277.015,395.646,SP
3171,481348.4447,1848297.186,392.9097,SP
3172,481332.2926,1848306.104,394.4436,SP
3173,481323.939,1848317.957,394.4852,SP
3174,481305.3733,1848331.521,397.6151,SP
3175,481293.9945,1848356.414,395.4192,SP
3176,481304.6306,1848358.901,390.7174,SP
3177,481317.3129,1848371.754,384.4074,SP
3178,481328.1181,1848374.904,379.9278,SP
3179,481347.9791,1848381.607,373.8382,SP
3180,481359.9561,1848386.449,370.6934,SP
3181,481372.3807,1848392.184,368.4829,SP
3182,481386.4103,1848394.639,364.8591,SP
3183,481396.1939,1848396.485,363.0562,SP
3184,481403.6643,1848399.14,360.7833,SP
3185,481411.7752,1848403.483,358.3273,SP
3186,481425.4758,1848403.231,356.1831,SP
3187,481431.1606,1848408.701,353.842,SP
3188,481436.1554,1848413.496,351.4404,SP
3189,481442.4185,1848415.342,348.2263,SP
3190,481454.022,1848419.742,349.5608,SP
3191,481463.8709,1848422.669,349.9071,SP
3192,481475.6866,1848425.664,349.473,SP
3193,481483.4303,1848426.558,348.4616,SP
3194,481497.6985,1848428.786,346.4772,SP
3195,481505.7315,1848432.249,344.6999,SP
3196,481514.5375,1848436.02,341.5254,SP
3197,481528.1584,1848436.312,336.9343,SP
3198,481527.0991,1848435.892,338.0065,SP
3199,481533.6083,1848435.854,337.2712,SP
3200,481536.5751,1848439.468,338.1875,SP
3201,481551.2321,1848449.987,339.1977,SP
3202,481593.8234,1848476.296,340.0534,SP
3203,481603.4158,1848473.368,340.0842,SP
3204,481677.7961,1848490.69,341.0457,SP
3205,480257.366,1848679.705,351.0912,
3206,480257.208,1848679.628,349.2629,TEST GNSS002
3207,480154.3298,1848555.227,337.3773,SP
3208,480158.1412,1848543.815,338.1527,SP
3209,480160.7706,1848532.933,337.5822,SP
3210,480164.8095,1848522.333,336.4969,SP
3211,480168.9398,1848510.14,337.0341,SP
3212,480173.3956,1848498,336.8931,SP
3213,480174.3416,1848492.831,336.0693,SP
3214,480180.5283,1848480.495,337.1506,SP
3215,480182.1627,1848474.98,336.2288,SP
3216,480187.3173,1848468.609,336.2979,SP
3217,480177.5915,1848461.12,341.4433,SP
3218,480168.4117,1848455.823,345.0173,SP
3219,480163.9048,1848454.901,346.2271,SP
3220,480157.2943,1848452.122,348.2865,SP
3221,480148.921,1848447.388,352.2085,SP
3222,480136.6829,1848442.871,356.6676,SP
3223,480124.719,1848440.678,359.9136,SP
3224,480112.7069,1848433.948,365.2832,SP
3225,480100.2318,1848429.977,370.5278,SP
3226,480091.9569,1848427.241,373.6062,SP
3227,480079.3319,1848420.047,378.6822,SP
3228,480065.9459,1848419.179,383.6958,SP
3229,480056.6296,1848415.408,384.0774,SP
3230,480038.2023,1848407.397,394.4407,SP
3231,480020.5829,1848400.675,400.2849,SP
3232,479997.5985,1848396.536,408.1015,SP
3233,479981.5747,1848388.078,414.197,SP
3234,479972.9042,1848383.724,416.733,SP
3235,479966.6747,1848382.627,416.047,SP
3236,479954.0078,1848376.713,417.274,SP
3237,479937.8587,1848372.494,415.4,SP
3238,479925.4035,1848367.9,413.72,SP
3239,479910.0911,1848364.754,409.1395,SP
3240,479899.8063,1848358.576,406.6296,SP
3241,479893.1474,1848355.685,401.4985,SP
3242,479880.7378,1848350.364,399.4897,SP
3243,479877.4385,1848350.803,399.4587,SP
3244,479828.1462,1848544.604,399.1893,SP
3245,479839.668,1848547.14,401.104,SP
3246,479855.4497,1848556.909,403.8748,SP
3247,479867.0619,1848559.651,400.0058,SP
3248,479879.9386,1848563.791,400.9732,SP
3249,479890.3077,1848565.482,397.0889,SP
3250,479905.7758,1848571.867,390.9829,SP
3251,479906.8274,1848571.733,390.5996,SP
3252,479918.3202,1848577.726,387.0642,SP
3253,479931.9216,1848582.28,382.6033,SP
3254,479946.1165,1848584.226,379.3203,SP
3255,479955.2427,1848588.982,376.549,SP
3256,479967.277,1848593.299,373.8385,SP
3257,479980.314,1848598.31,371.1773,SP
3258,479990.5399,1848599.714,369.0604,SP
3259,479995.6043,1848602.824,366.691,SP
3260,480007.6004,1848609.642,363.1951,SP
3261,480023.328,1848614.104,359.6398,SP
3262,480038.1584,1848619.978,355.0913,SP
3263,480051.0472,1848625.864,351.8295,SP
3264,480062.1763,1848628.697,348.8094,SP
3265,480075.2177,1848634.857,345.9205,SP
3266,480091.1704,1848639.765,340.6609,SP
3267,480103.5105,1848644.477,337.1585,SP
3268,480118.2793,1848650.397,332.6569,SP
3269,480114.1882,1848659.939,331.4354,SP
3270,480109.5307,1848672.463,329.5688,SP
3271,480107.2551,1848685.986,328.2492,SP
3272,480101.9582,1848694.695,327.1855,SP
3273,480095.7579,1848705.611,326.2421,SP
3274,480076.0414,1848735.965,326.2937,SP
3275,480083.2267,1848720.709,326.3271,SP
3276,480088.1461,1848711.046,326.7221,SP
3277,479193.4544,1848742.264,338.943,SP
3278,479177.5224,1848737.373,339.9956,SP
3279,479157.488,1848730.92,345.7141,SP
3280,479204.494,1848745.203,336.734,SP
3281,479214.5227,1848748.172,332.8377,SP
3282,479222.8638,1848752.49,329.7528,SP
3283,479234.7321,1848756.66,326.5349,SP
3284,479256.5876,1848762.825,329.639,SP
3285,479271.9208,1848770.63,333.243,SP
3286,479288.1715,1848774.522,336.7245,SP
3287,479304.3246,1848780.807,341.1627,SP
3288,479315.2261,1848784.131,346.097,SP
3289,479331.315,1848790.83,350.0703,SP
3290,479348.0133,1848796.526,353.3887,SP
3291,479363.9945,1848799.301,356.9619,SP
3292,479374.4916,1848806.179,358.8126,SP
3293,479384.8254,1848810.389,362.8845,SP
3294,479404.3588,1848813.766,367.4482,SP
3295,479418.3578,1848821.234,363.8232,SP
3296,479422.2332,1848823.493,362.6338,SP
3297,479482.1688,1848743.928,365.9876,SP
3298,479463.1386,1848632.847,405.327,SP
3299,479456.2135,1848626.215,409.6833,SP
3300,479444.7851,1848621.442,410.6465,SP
3301,479435.703,1848617.493,409.0601,SP
3302,479426.5559,1848613.965,407.3537,SP
3303,479420.6454,1848611.54,406.5787,SP
3304,479406.7897,1848605.637,404.9932,SP
3305,479395.3586,1848600.389,402.7445,SP
3306,479386.8822,1848596.484,399.9818,SP
3307,479384.8806,1848595.182,398.9989,SP
3308,479400.1421,1848394.874,409.8335,SP
3309,479417.5557,1848395.93,414.7231,SP
3310,479431.1424,1848398.788,416.3208,SP
3311,479443.5324,1848404.43,416.7108,SP
3312,479452.4977,1848409.506,416.3678,SP
3313,479465.5351,1848414.342,415.8109,SP
3314,479483.3369,1848420.154,413.9345,SP
3315,479484.7645,1848420.429,413.9294,SP
3316,479500.0723,1848423.234,409.0059,SP
3317,479419.6507,1848296.386,432.0211,SP
3318,479405.6611,1848288.549,433.8018,SP
3319,479392.4905,1848279.032,436.5079,SP
3320,479378.6501,1848271.289,437.9727,SP
3321,479541.3533,1848231.744,448.7482,SP
3322,479515.6771,1848225.653,449.7375,SP
3323,479492.1216,1848216.253,456.3401,SP
3324,479472.9467,1848209.633,454.4019,SP
3325,479424.6936,1848194.122,464.1006,SP
3326,479406.121,1848175.069,464.1581,SP
3327,479369.7835,1848154.944,457.2172,SP
3328,479339.5137,1848153.326,452.7283,SP
3329,479325.9624,1848167.46,454.2903,SP
3330,479315.4055,1848189.577,453.1049,SP
3331,479311.4832,1848218.484,450.3208,SP
3332,479307.0993,1848233.744,447.5886,SP
3333,479308.8635,1848248.179,445.2669,SP
3334,479326.6414,1848255.898,445.0052,SP
3335,479340.3991,1848260.074,444.4999,SP
3336,479354.3742,1848264.218,442.7825,SP
3337,479395.1637,1848490.113,408.9218,SP
3338,479393.2459,1848490.338,407.6058,SP
3339,479404.5882,1848493.005,410.8337,SP
3340,479412.9036,1848495.99,412.2023,SP
3341,479422.5943,1848498.998,412.7021,SP
3342,479432.0946,1848502.762,413.2323,SP
3343,479440.8897,1848506.17,413.514,SP
3344,479449.0168,1848509.614,412.0381,SP
3345,479458.6784,1848516.517,409.354,SP
3346,479462.5793,1848519.174,407.993,SP
3347,479443.9889,1848727.834,390.1743,SP
3348,479435.6737,1848725.762,390.8232,SP
3349,479426.6101,1848721.749,389.6036,SP
3350,479421.4462,1848718.54,388.5427,SP
3351,479418.9677,1848717.865,387.8202,SP
3352,479417.2832,1848717.408,387.253,SP
3353,479414.8268,1848717.013,387.1302,SP
3354,479414.1,1848717.237,386.525,SP
